Element,Symbol,Atomic Number (Protons),Neutron Number (approx.),Atomic Mass Number
Hydrogen,H,1,0,1
Helium,He,2,2,4
Lithium,Li,3,4,7
Beryllium,Be,4,5,9
Boron,B,5,6,11
Carbon,C,6,6,12
Nitrogen,N,7,7,14
Oxygen,O,8,8,16
Fluorine,F,9,10,19
Neon,Ne,10,10,20
Sodium,Na,11,12,23
Magnesium,Mg,12,12,24
Aluminum,Al,13,14,27
Silicon,Si,14,14,28
Phosphorus,P,15,16,31
Sulfur,S,16,16,32
Chlorine,Cl,17,18,35
Argon,Ar,18,22,40
Potassium,K,19,20,39
Calcium,Ca,20,20,40
Scandium,Sc,21,24,45
Titanium,Ti,22,26,48
Vanadium,V,23,28,51
Chromium,Cr,24,28,52
Manganese,Mn,25,30,55
Iron,Fe,26,30,56
Cobalt,Co,27,32,59
Nickel,Ni,28,31,59
Copper,Cu,29,35,64
Zinc,Zn,30,35,65
Gallium,Ga,31,39,70
Germanium,Ge,32,41,73
Arsenic,As,33,42,75
Selenium,Se,34,45,79
Bromine,Br,35,45,80
Krypton,Kr,36,48,84
Rubidium,Rb,37,48,85
Strontium,Sr,38,50,88
Yttrium,Y,39,50,89
Zirconium,Zr,40,51,91
Niobium,Nb,41,52,93
Molybdenum,Mo,42,54,96
Technetium,Tc,43,55,98
Ruthenium,Ru,44,58,102
Rhodium,Rh,45,58,103
Palladium,Pd,46,60,106
Silver,Ag,47,61,108
Cadmium,Cd,48,64,112
Indium,In,49,66,115
Tin,Sn,50,69,119
Antimony,Sb,51,71,122
Tellurium,Te,52,76,128
Iodine,I,53,74,127
Xenon,Xe,54,77,131
Cesium,Cs,55,78,133
Barium,Ba,56,81,137
Lanthanum,La,57,82,139
Cerium,Ce,58,82,140
Praseodymium,Pr,59,82,141
Neodymium,Nd,60,84,144
Promethium,Pm,61,84,145
Samarium,Sm,62,88,150
Europium,Eu,63,89,152
Gadolinium,Gd,64,93,157
Terbium,Tb,65,94,159
Dysprosium,Dy,66,97,163
Holmium,Ho,67,98,165
Erbium,Er,68,99,167
Thulium,Tm,69,100,169
Ytterbium,Yb,70,103,173
Lutetium,Lu,71,104,175
Hafnium,Hf,72,106,178
Tantalum,Ta,73,108,181
Tungsten,W,74,110,184
Rhenium,Re,75,111,186
Osmium,Os,76,114,190
Iridium,Ir,77,115,192
Platinum,Pt,78,117,195
Gold,Au,79,118,197
Mercury,Hg,80,121,201
Thallium,Tl,81,123,204
Lead,Pb,82,125,207
Bismuth,Bi,83,126,209
Polonium,Po,84,125,209
Astatine,At,85,125,210
Radon,Rn,86,136,222
Francium,Fr,87,136,223
Radium,Ra,88,138,226
Actinium,Ac,89,138,227
Thorium,Th,90,142,232
Protactinium,Pa,91,140,231
Uranium,U,92,146,238
Neptunium,Np,93,144,237
Plutonium,Pu,94,148,242
Americium,Am,95,148,243